data,size,algo,buildtime,querytime,params,recall
pca96v2,10M,Learned-index,5723.784341335297,221.6461522579193,learned-index-pca96v2-10M-ep=55-lr=0.09-cat=120-model=MLP-2-buck=1-861140.elixir-pbs.elixir-czech.cz,0.64621
pca96v2,10M,Learned-index,5350.410269021988,388.0423047542572,learned-index-pca96v2-10M-ep=40-lr=0.05-cat=120-model=MLP-3-buck=2-853993.elixir-pbs.elixir-czech.cz,0.80432
pca96v2,10M,Learned-index,27069.654719114304,436.96541476249695,learned-index-pca96v2-10M-ep=212-lr=0.008-cat=123-model=MLP-5-buck=2-862372.elixir-pbs.elixir-czech.cz,0.81207
pca96v2,10M,Learned-index,8646.003770112991,473.8364851474762,learned-index-pca96v2-10M-ep=55-lr=0.11-cat=120-model=MLP-8-buck=2-861692.elixir-pbs.elixir-czech.cz,0.78141
pca96v2,10M,Learned-index,25402.178614616394,815.7546770572662,learned-index-pca96v2-10M-ep=195-lr=0.009-cat=122-model=MLP-3-buck=4-859412.elixir-pbs.elixir-czech.cz,0.91146
pca96v2,10M,Learned-index,12721.400505065918,721.8154683113098,learned-index-pca96v2-10M-ep=100-lr=0.05-cat=50-model=MLP-6-buck=2-854175.elixir-pbs.elixir-czech.cz,0.85475
pca96v2,10M,Learned-index,6982.567402839661,357.041273355484,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=110-model=MLP-2-buck=2-861335.elixir-pbs.elixir-czech.cz,0.78528
pca96v2,10M,Learned-index,6734.203932523727,282.7017903327942,learned-index-pca96v2-10M-ep=50-lr=0.09-cat=120-model=MLP-3-buck=1-861156.elixir-pbs.elixir-czech.cz,0.64082
pca96v2,10M,Learned-index,5790.030438899994,630.9577946662903,learned-index-pca96v2-10M-ep=45-lr=0.09-cat=116-model=MLP-8-buck=3-861242.elixir-pbs.elixir-czech.cz,0.85546
pca96v2,10M,Learned-index,31588.698122739792,614.9006190299988,learned-index-pca96v2-10M-ep=212-lr=0.009-cat=123-model=MLP-7-buck=4-862534.elixir-pbs.elixir-czech.cz,0.90413
pca96v2,10M,Learned-index,12721.400505065918,1421.8205332756042,learned-index-pca96v2-10M-ep=100-lr=0.05-cat=50-model=MLP-6-buck=4-854175.elixir-pbs.elixir-czech.cz,0.93352
pca96v2,10M,Learned-index,6038.944702386856,437.7745792865753,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=116-model=MLP-buck=2-861314.elixir-pbs.elixir-czech.cz,0.78674
pca96v2,10M,Learned-index,7641.67541718483,380.22279357910156,learned-index-pca96v2-10M-ep=55-lr=0.1-cat=120-model=MLP-7-buck=2-861452.elixir-pbs.elixir-czech.cz,0.79028
pca96v2,10M,Learned-index,5638.780364990234,671.9119529724121,learned-index-pca96v2-10M-ep=55-lr=0.11-cat=124-model=MLP-5-buck=4-861646.elixir-pbs.elixir-czech.cz,0.86939
pca96v2,10M,Learned-index,26620.303749084473,559.6712386608124,learned-index-pca96v2-10M-ep=200-lr=0.05-cat=120-model=MLP-8-buck=3-853977.elixir-pbs.elixir-czech.cz,0.86842
pca96v2,10M,Learned-index,7874.244903326035,340.39951181411743,learned-index-pca96v2-10M-ep=50-lr=0.09-cat=110-model=MLP-9-buck=2-861295.elixir-pbs.elixir-czech.cz,0.79454
pca96v2,10M,Learned-index,12578.74322938919,1388.8201904296875,learned-index-pca96v2-10M-ep=100-lr=0.01-cat=50-model=MLP-3-buck=4-853923.elixir-pbs.elixir-czech.cz,0.94004
pca96v2,10M,Learned-index,33719.658385276794,307.52032494544983,learned-index-pca96v2-10M-ep=210-lr=0.007-cat=121-model=MLP-buck=1-862148.elixir-pbs.elixir-czech.cz,0.66787
pca96v2,10M,Learned-index,7647.17765045166,632.1983244419098,learned-index-pca96v2-10M-ep=55-lr=0.1-cat=120-model=MLP-6-buck=4-861500.elixir-pbs.elixir-czech.cz,0.88747
pca96v2,10M,Learned-index,12607.95444393158,719.4968910217285,learned-index-pca96v2-10M-ep=100-lr=0.05-cat=50-model=MLP-7-buck=2-854223.elixir-pbs.elixir-czech.cz,0.85475
pca96v2,10M,Learned-index,6868.256964921951,557.8791260719299,learned-index-pca96v2-10M-ep=50-lr=0.1-cat=112-model=MLP-8-buck=3-861464.elixir-pbs.elixir-czech.cz,0.85462
pca96v2,10M,Learned-index,27715.457322359085,736.829601764679,learned-index-pca96v2-10M-ep=209-lr=0.009-cat=123-model=MLP-3-buck=4-862471.elixir-pbs.elixir-czech.cz,0.90368
pca96v2,10M,Learned-index,7615.2423186302185,750.651802778244,learned-index-pca96v2-10M-ep=55-lr=0.1-cat=110-model=MLP-7-buck=5-861447.elixir-pbs.elixir-czech.cz,0.91048
pca96v2,10M,Learned-index,27806.60183739662,471.5607316493988,learned-index-pca96v2-10M-ep=209-lr=0.007-cat=123-model=MLP-3-buck=2-862183.elixir-pbs.elixir-czech.cz,0.81222
pca96v2,10M,Learned-index,30488.032438755035,475.69517278671265,learned-index-pca96v2-10M-ep=212-lr=0.007-cat=122-model=MLP-3-buck=2-862191.elixir-pbs.elixir-czech.cz,0.82418
pca96v2,10M,Learned-index,10416.472527503967,661.9055371284485,learned-index-pca96v2-10M-ep=55-lr=0.11-cat=120-model=MLP-3-buck=3-861596.elixir-pbs.elixir-czech.cz,0.84474
pca96v2,10M,Learned-index,6221.566754102707,667.8625380992889,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=120-model=MLP-6-buck=4-861484.elixir-pbs.elixir-czech.cz,0.88667
pca96v2,10M,Learned-index,30703.716752052307,333.9103915691376,learned-index-pca96v2-10M-ep=211-lr=0.01-cat=121-model=MLP-buck=2-862583.elixir-pbs.elixir-czech.cz,0.81344
pca96v2,10M,Learned-index,28727.91443014145,511.30771565437317,learned-index-pca96v2-10M-ep=200-lr=0.05-cat=120-model=MLP-3-buck=2-854001.elixir-pbs.elixir-czech.cz,0.80857
pca96v2,10M,Learned-index,35367.6342997551,1773.938337802887,learned-index-pca96v2-10M-ep=190-lr=0.001-cat=125-model=MLP-6-buck=7-858649.elixir-pbs.elixir-czech.cz,0.94383
pca96v2,10M,Learned-index,28967.512014389038,616.0811750888824,learned-index-pca96v2-10M-ep=210-lr=0.009-cat=122-model=MLP-4-buck=3-862491.elixir-pbs.elixir-czech.cz,0.88066
pca96v2,10M,Learned-index,6245.202090024948,222.4348177909851,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=110-model=MLP-6-buck=1-861479.elixir-pbs.elixir-czech.cz,0.63651
pca96v2,10M,Learned-index,6247.7482233047485,1271.9336779117584,learned-index-pca96v2-10M-ep=45-lr=0.1-cat=124-model=MLP-2-buck=6-861342.elixir-pbs.elixir-czech.cz,0.91903
pca96v2,10M,Learned-index,8438.589626789093,532.5028986930847,learned-index-pca96v2-10M-ep=55-lr=0.09-cat=114-model=MLP-5-buck=3-861209.elixir-pbs.elixir-czech.cz,0.85459
pca96v2,10M,Learned-index,26579.057274580002,1118.279147386551,learned-index-pca96v2-10M-ep=200-lr=0.01-cat=120-model=MLP-8-buck=6-854890.elixir-pbs.elixir-czech.cz,0.94357
pca96v2,10M,Learned-index,29171.937371969223,1142.435849905014,learned-index-pca96v2-10M-ep=200-lr=0.1-cat=130-model=MLP-6-buck=7-858746.elixir-pbs.elixir-czech.cz,0.91585
pca96v2,10M,Learned-index,4704.855242729187,990.1991972923279,learned-index-pca96v2-10M-ep=45-lr=0.11-cat=120-model=MLP-7-buck=6-861652.elixir-pbs.elixir-czech.cz,0.91624
pca96v2,10M,Learned-index,30742.039694547653,1222.7891643047333,learned-index-pca96v2-10M-ep=205-lr=0.009-cat=122-model=MLP-buck=6-862428.elixir-pbs.elixir-czech.cz,0.93711
pca96v2,10M,Learned-index,31132.98494052887,418.36753821372986,learned-index-pca96v2-10M-ep=208-lr=0.009-cat=122-model=MLP-buck=2-862431.elixir-pbs.elixir-czech.cz,0.82108
pca96v2,10M,Learned-index,30731.06438422203,318.9898257255554,learned-index-pca96v2-10M-ep=209-lr=0.009-cat=121-model=MLP-3-buck=2-862469.elixir-pbs.elixir-czech.cz,0.81456
pca96v2,10M,Learned-index,17205.83432340622,3650.494960308075,learned-index-pca96v2-10M-ep=100-lr=0.05-cat=20-model=MLP-3-buck=4-854210.elixir-pbs.elixir-czech.cz,0.95916
pca96v2,10M,Learned-index,13435.241005659103,195.53088688850403,learned-index-pca96v2-10M-ep=100-lr=0.1-cat=120-model=MLP-7-buck=1-855050.elixir-pbs.elixir-czech.cz,0.63269
pca96v2,10M,Learned-index,5649.383508682251,237.09090900421143,learned-index-pca96v2-10M-ep=55-lr=0.09-cat=112-model=MLP-buck=1-861112.elixir-pbs.elixir-czech.cz,0.65044
pca96v2,10M,Learned-index,6958.892410039902,518.9127733707428,learned-index-pca96v2-10M-ep=50-lr=0.1-cat=120-model=MLP-6-buck=3-861492.elixir-pbs.elixir-czech.cz,0.84807
pca96v2,10M,Learned-index,27661.9778175354,751.163010597229,learned-index-pca96v2-10M-ep=209-lr=0.008-cat=121-model=MLP-buck=4-862289.elixir-pbs.elixir-czech.cz,0.90984
pca96v2,10M,Learned-index,26827.216789245605,560.1823019981384,learned-index-pca96v2-10M-ep=200-lr=0.05-cat=120-model=MLP-buck=3-853953.elixir-pbs.elixir-czech.cz,0.86842
pca96v2,10M,Learned-index,27012.569122076035,998.4779288768768,learned-index-pca96v2-10M-ep=195-lr=0.009-cat=110-model=MLP-2-buck=5-859374.elixir-pbs.elixir-czech.cz,0.93381
pca96v2,10M,Learned-index,4729.916611671448,847.8321280479431,learned-index-pca96v2-10M-ep=45-lr=0.09-cat=118-model=MLP-9-buck=5-861291.elixir-pbs.elixir-czech.cz,0.90494
